Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|220978105|gb|EED96431.1|,gi|223994213|ref|XP_002286790.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",16,18,16,18,15,16,14,18,12,0.000349,0.000398,0.000338,0.000504,0.000437,0.000446,0.000311,0.000394,0.000277
"gi|223994099|ref|XP_002286733.1|,gi|220978048|gb|EED96374.1|","nucleoside diphosphate kinase, partial [Thalassiosira pseudonana CCMP1335]",14,16,15,13,16,17,16,19,17,0.000386,0.000447,0.000401,0.00046,0.00059,0.000599,0.00045,0.000526,0.000497
"gi|223997350|ref|XP_002288348.1|,gi|220975456|gb|EED93784.1|","RL24, ribosomal protein 24 60S large ribosomal subunit, partial [Thalassiosira pseudonana CCMP1335]",24,25,28,2,1,2,20,24,17,0.00084,0.000887,0.00095,8.99e-05,4.68e-05,8.95e-05,0.000714,0.000843,0.000631
"gi|224005919|ref|XP_002291920.1|,gi|220972439|gb|EED90771.1|",triose phosphate/phosphate translocator [Thalassiosira pseudonana CCMP1335],34,23,35,2,5,0,13,18,13,0.000384,0.000263,0.000383,2.9e-05,7.54e-05,0.0,0.00015,0.000204,0.000156
"gi|220968161|gb|EED86511.1|,gi|224015050|ref|XP_002297186.1|",cytochrome c1 [Thalassiosira pseudonana CCMP1335],14,10,17,16,17,15,21,17,15,0.00021,0.000152,0.000248,0.000309,0.000342,0.000288,0.000322,0.000256,0.000239
"gi|220969428|gb|EED87769.1|,gi|224012673|ref|XP_002294989.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,14,13,17,24,15,14,18,13,0.000228,0.000231,0.000205,0.000355,0.000522,0.000312,0.000232,0.000294,0.000224
"gi|220972448|gb|EED90780.1|,gi|224005937|ref|XP_002291929.1|","dtdp-glucose 4,6-dehydratase [Thalassiosira pseudonana CCMP1335]",24,30,20,10,5,5,17,15,16,0.000258,0.000327,0.000209,0.000138,7.19e-05,6.88e-05,0.000187,0.000162,0.000183
"gi|220977441|gb|EED95767.1|,gi|223992885|ref|XP_002286126.1|",predicted protein [Thalassiosira pseudonana CCMP1335],22,15,16,12,11,13,22,20,11,0.000434,0.0003,0.000306,0.000304,0.00029,0.000328,0.000443,0.000396,0.00023
"gi|224012315|ref|XP_002294810.1|,gi|220969249|gb|EED87590.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,17,20,20,14,18,12,11,10,3.73e-05,3.21e-05,3.62e-05,4.79e-05,3.49e-05,4.29e-05,2.28e-05,2.06e-05,1.98e-05
"gi|220977613|gb|EED95939.1|,gi|223993229|ref|XP_002286298.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,20,18,8,11,8,20,19,20,0.00027,0.000322,0.000277,0.000163,0.000234,0.000163,0.000324,0.000303,0.000337
"gi|224000037|ref|XP_002289691.1|,gi|220974899|gb|EED93228.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,16,17,15,15,10,17,17,17,0.000154,0.000147,0.00015,0.000175,0.000182,0.000116,0.000157,0.000155,0.000164
"gi|220967785|gb|EED86161.1|,gi|2050584480|gb|QWM93021.1|,gi|118411099|ref|YP_874493.1|,gi|224015746|ref|XP_002297521.1|,gi|125987545|sp|A0T0N1.1|RK19_THAPS,gi|116739846|gb|ABK20716.1|","RK19, ribosomal protein 19 50S large ribosomal subunit, chloroplast, translation, protein biosynthesis [Thalassiosira pseudonana CCMP1335],ribosomal protein L19 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Large ribosomal subunit protein bL19c; AltName: Full=50S ribosomal protein L19, chloroplastic,50S ribosomal protein L19 (chloroplast) [Thalassiosira pseudonana]",26,29,21,7,3,5,14,18,17,0.000902,0.001,0.000707,0.000312,0.000139,0.000222,0.000496,0.000627,0.000625
"gi|220973987|gb|EED92317.1|,gi|224001786|ref|XP_002290565.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,13,15,14,14,15,16,19,19,0.00017,0.000149,0.000165,0.000204,0.000212,0.000218,0.000185,0.000216,0.000229
"gi|220975259|gb|EED93587.1|,gi|223996956|ref|XP_002288151.1|",predicted protein [Thalassiosira pseudonana CCMP1335],21,19,18,13,8,12,19,17,13,0.000523,0.00048,0.000435,0.000416,0.000267,0.000383,0.000483,0.000425,0.000344
"gi|220978315|gb|EED96641.1|,gi|223994633|ref|XP_002287000.1|",glycyl tRNA synthetase [Thalassiosira pseudonana CCMP1335],23,18,20,12,11,10,16,14,16,0.00014,0.000111,0.000118,9.39e-05,8.96e-05,7.8e-05,9.95e-05,8.57e-05,0.000103
"gi|223993511|ref|XP_002286439.1|,gi|220977754|gb|EED96080.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,20,13,14,14,11,21,14,12,0.000306,0.00031,0.000193,0.000275,0.000286,0.000215,0.000328,0.000215,0.000195
"gi|223993693|ref|XP_002286530.1|,gi|220977845|gb|EED96171.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,14,21,12,14,13,16,16,15,0.000349,0.000275,0.000394,0.000298,0.000362,0.000322,0.000316,0.000311,0.000308
"gi|223994761|ref|XP_002287064.1|,gi|220978379|gb|EED96705.1|",predicted protein [Thalassiosira pseudonana CCMP1335],7,12,10,17,18,20,19,16,20,0.000121,0.00021,0.000168,0.000377,0.000416,0.000442,0.000335,0.000277,0.000366
"gi|223997116|ref|XP_002288231.1|,gi|220975339|gb|EED93667.1|",predicted protein [Thalassiosira pseudonana CCMP1335],12,15,14,17,15,17,16,17,16,8.24e-05,0.000104,9.33e-05,0.00015,0.000138,0.000149,0.000112,0.000117,0.000117
"gi|220970707|gb|EED89043.1|,gi|224008697|ref|XP_002293307.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,22,21,10,8,20,14,12,15,0.000505,0.000703,0.000642,0.000405,0.000337,0.000807,0.000451,0.00038,0.000502
"gi|220973244|gb|EED91575.1|,gi|224003593|ref|XP_002291468.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,16,11,18,18,16,14,12,15,0.000267,0.00024,0.000158,0.000343,0.000356,0.000303,0.000212,0.000178,0.000236
"gi|220970017|gb|EED88356.1|,gi|224011130|ref|XP_002294522.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",12,11,12,15,15,17,19,14,22,0.000757,0.000703,0.000734,0.001,0.001,0.001,0.001,0.000886,0.001
"gi|220970693|gb|EED89029.1|,gi|224008669|ref|XP_002293293.1|","RanGAP, ran-binding protein 1-like protein, partial [Thalassiosira pseudonana CCMP1335]",24,22,18,13,10,11,10,15,14,0.000531,0.000494,0.000387,0.00037,0.000296,0.000312,0.000226,0.000333,0.000329
"gi|220970754|gb|EED89090.1|,gi|224008791|ref|XP_002293354.1|",predicted protein [Thalassiosira pseudonana CCMP1335],19,15,12,15,21,14,14,15,12,8.05e-05,6.45e-05,4.93e-05,8.17e-05,0.000119,7.59e-05,6.06e-05,6.38e-05,5.4e-05
"gi|223998300|ref|XP_002288823.1|,gi|220975931|gb|EED94259.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,19,11,15,14,19,16,13,13,0.000505,0.000573,0.000317,0.000573,0.000556,0.000723,0.000486,0.000388,0.00041
"gi|224009199|ref|XP_002293558.1|,gi|220970958|gb|EED89294.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",16,9,8,22,17,17,18,16,14,0.000265,0.000151,0.000129,0.000469,0.000377,0.000361,0.000305,0.000266,0.000246
gi|2050584498|gb|QWM93039.1|,ribosomal protein S6 (chloroplast) [Thalassiosira pseudonana],27,32,19,2,0,0,20,15,21,0.001,0.001,0.000724,0.000101,0.0,0.0,0.000802,0.000591,0.000875
"gi|220967765|gb|EED86142.1|,gi|118411222|ref|YP_874616.1|,gi|125987758|sp|A0T104.1|RR6_THAPS,gi|116739969|gb|ABK20839.1|,gi|224015819|ref|XP_002297557.1|","predicted protein [Thalassiosira pseudonana CCMP1335],ribosomal protein S6 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Small ribosomal subunit protein bS6c; AltName: Full=30S ribosomal protein S6, chloroplastic,30S ribosomal protein S6 (chloroplast) [Thalassiosira pseudonana]",27,32,19,2,0,0,20,15,21,0.001,0.001,0.000745,0.000104,0.0,0.0,0.000825,0.000609,0.0009
"gi|2050584507|gb|QWM93048.1|,gi|118411213|ref|YP_874607.1|,gi|116739960|gb|ABK20830.1|","ribosomal protein L13 (chloroplast) [Thalassiosira pseudonana],50S ribosomal protein L13 (chloroplast) [Thalassiosira pseudonana]",22,29,32,1,0,1,18,18,15,0.000673,0.0009,0.00095,3.93e-05,0.0,3.91e-05,0.000562,0.000553,0.000487
"gi|224011782|ref|XP_002294544.1|,gi|220969564|gb|EED87904.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,17,12,19,12,14,16,15,18,0.000125,0.000166,0.000112,0.000235,0.000155,0.000173,0.000157,0.000145,0.000184
"gi|209586015|gb|ACI64700.1|,gi|224004664|ref|XP_002295983.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,14,13,20,20,18,13,12,9,0.000232,0.000206,0.000183,0.000373,0.000388,0.000334,0.000192,0.000175,0.000138
"gi|220978192|gb|EED96518.1|,gi|223994387|ref|XP_002286877.1|",t-complex protein 1 gamma subunit [Thalassiosira pseudonana CCMP1335],20,14,13,20,13,17,11,15,12,0.000149,0.000106,9.41e-05,0.000192,0.00013,0.000162,8.37e-05,0.000112,9.49e-05
"gi|223997806|ref|XP_002288576.1|,gi|220975684|gb|EED94012.1|",predicted protein [Thalassiosira pseudonana CCMP1335],31,21,28,4,6,3,13,15,14,0.000412,0.000283,0.000361,6.83e-05,0.000107,5.1e-05,0.000176,0.0002,0.000197
"gi|223998258|ref|XP_002288802.1|,gi|220975910|gb|EED94238.1|",nitrate transporter [Thalassiosira pseudonana CCMP1335],16,18,22,9,8,6,18,23,15,0.000138,0.000158,0.000184,9.98e-05,9.24e-05,6.63e-05,0.000159,0.000199,0.000137
"gi|223999921|ref|XP_002289633.1|,gi|220974841|gb|EED93170.1|",predicted protein [Thalassiosira pseudonana CCMP1335],22,11,21,13,11,10,12,17,18,9.63e-05,4.88e-05,8.92e-05,7.31e-05,6.44e-05,5.6e-05,5.36e-05,7.47e-05,8.36e-05
"gi|224009291|ref|XP_002293604.1|,gi|220971004|gb|EED89340.1|",cytochrome P450 [Thalassiosira pseudonana CCMP1335],21,21,14,10,6,10,16,19,18,0.00016,0.000162,0.000104,9.79e-05,6.11e-05,9.75e-05,0.000124,0.000145,0.000146
"gi|224009944|ref|XP_002293930.1|,gi|220970602|gb|EED88939.1|",cystathionine beta-lyase [Thalassiosira pseudonana CCMP1335],15,16,19,11,13,9,15,21,16,0.000164,0.000177,0.000201,0.000154,0.00019,0.000126,0.000167,0.00023,0.000185
"gi|224010096|ref|XP_002294006.1|,gi|220970678|gb|EED89015.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,24,29,8,4,10,13,14,13,0.000636,0.000773,0.000894,0.000327,0.00017,0.000406,0.000422,0.000447,0.000438
"gi|224010543|ref|XP_002294229.1|,gi|220970246|gb|EED88584.1|",chromatin assembly factor [Thalassiosira pseudonana CCMP1335],11,17,9,16,21,19,13,13,16,9.83e-05,0.000154,7.8e-05,0.000184,0.000251,0.000217,0.000119,0.000117,0.000152
"gi|220969069|gb|EED87412.1|,gi|224013389|ref|XP_002295346.1|",predicted protein [Thalassiosira pseudonana CCMP1335],9,9,10,26,26,23,6,14,11,7.02e-05,7.11e-05,7.56e-05,0.00026,0.000271,0.000229,4.77e-05,0.00011,9.09e-05
"gi|220975258|gb|EED93586.1|,gi|223996954|ref|XP_002288150.1|",predicted protein [Thalassiosira pseudonana CCMP1335],21,18,23,11,6,9,15,15,16,0.000358,0.000311,0.000381,0.000241,0.000137,0.000196,0.000261,0.000257,0.00029
"gi|223995279|ref|XP_002287323.1|,gi|220976439|gb|EED94766.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,18,17,14,10,10,16,18,16,0.000516,0.000628,0.000567,0.000619,0.00046,0.00044,0.000562,0.000622,0.000584
"gi|224007809|ref|XP_002292864.1|,gi|220971726|gb|EED90060.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,19,22,13,10,13,11,14,14,0.000209,0.000224,0.000248,0.000194,0.000155,0.000193,0.000131,0.000163,0.000173
"gi|224009530|ref|XP_002293723.1|,gi|220970395|gb|EED88732.1|",sterol-c-methyltransferase [Thalassiosira pseudonana CCMP1335],17,14,19,16,9,14,14,18,13,0.000208,0.000174,0.000226,0.000252,0.000147,0.000219,0.000175,0.000221,0.000169
"gi|224009932|ref|XP_002293924.1|,gi|220970596|gb|EED88933.1|",catalytic subunit of clp protein superfamily [Thalassiosira pseudonana CCMP1335],15,15,21,9,17,20,9,12,16,0.000278,0.000281,0.000377,0.000214,0.00042,0.000473,0.00017,0.000223,0.000314
"gi|220973603|gb|EED91933.1|,gi|224001018|ref|XP_002290181.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,13,10,20,19,18,14,16,12,6.11e-05,7.32e-05,5.38e-05,0.000143,0.000141,0.000128,7.93e-05,8.92e-05,7.06e-05
"gi|224013722|ref|XP_002296525.1|,gi|220968877|gb|EED87221.1|",hypothetical protein THAPSDRAFT_269557 [Thalassiosira pseudonana CCMP1335],19,19,21,7,4,5,19,21,18,0.000309,0.000313,0.000331,0.000146,8.69e-05,0.000104,0.000315,0.000343,0.00031
"gi|209583506|gb|ACI64192.1|,gi|224011401|ref|XP_002295475.1|",valyl-tRNA synthetase [Thalassiosira pseudonana CCMP1335],19,15,12,17,14,15,14,17,9,8e-05,6.4e-05,4.9e-05,9.19e-05,7.88e-05,8.08e-05,6.01e-05,7.18e-05,4.02e-05
"gi|223993685|ref|XP_002286526.1|,gi|220977841|gb|EED96167.1|",predicted protein [Thalassiosira pseudonana CCMP1335],19,16,11,11,10,12,18,17,18,0.000282,0.000241,0.000159,0.00021,0.000199,0.000228,0.000273,0.000254,0.000284
"gi|223997454|ref|XP_002288400.1|,gi|220975508|gb|EED93836.1|",rab-like rab-type small G protein [Thalassiosira pseudonana CCMP1335],23,20,17,9,8,12,17,16,10,0.000474,0.000418,0.00034,0.000238,0.00022,0.000316,0.000358,0.000331,0.000219
"gi|224007901|ref|XP_002292910.1|,gi|220971772|gb|EED90106.1|",methylthioadenosine/S-adenosyl homocysteine nucleosidase [Thalassiosira pseudonana CCMP1335],13,8,9,19,22,23,10,15,13,0.000217,0.000136,0.000146,0.000408,0.000492,0.000492,0.000171,0.000252,0.000231
"gi|116739931|gb|ABK20801.1|,gi|118411184|ref|YP_874578.1|,gi|2050584536|gb|QWM93077.1|,gi|125987691|sp|A0T0W6.1|RR16_THAPS","30S ribosomal protein S16 (chloroplast) [Thalassiosira pseudonana],ribosomal protein S16 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Small ribosomal subunit protein bS16c; AltName: Full=30S ribosomal protein S16, chloroplastic",28,25,25,3,1,3,16,14,16,0.001,0.001,0.001,0.000203,7.04e-05,0.000202,0.00086,0.000741,0.000894
"gi|224006095|ref|XP_002292008.1|,gi|220972527|gb|EED90859.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,21,16,12,10,9,14,17,14,0.000694,0.000821,0.000598,0.000594,0.000515,0.000444,0.000551,0.000658,0.000572
"gi|220967816|gb|EED86192.1|,gi|118411106|ref|YP_874500.1|,gi|116739853|gb|ABK20723.1|,gi|224015808|ref|XP_002297552.1|,gi|2050584473|gb|QWM93014.1|","plastid protein [Thalassiosira pseudonana CCMP1335],sulfate ABC transporter protein (chloroplast) [Thalassiosira pseudonana],iron-sulfur cluster formation ABC transporter ATP-binding subunit (chloroplast) [Thalassiosira pseudonana],iron-sulfur cluster formation ABC transporter (chloroplast) [Thalassiosira pseudonana]",36,25,32,2,4,4,10,7,10,0.000597,0.00042,0.000515,4.26e-05,8.87e-05,8.48e-05,0.000169,0.000117,0.000176
"gi|223994837|ref|XP_002287102.1|,gi|220978417|gb|EED96743.1|",predicted protein [Thalassiosira pseudonana CCMP1335],22,11,12,17,10,15,18,12,13,9.28e-05,4.7e-05,4.91e-05,9.21e-05,5.64e-05,8.09e-05,7.75e-05,5.08e-05,5.82e-05
"gi|224001600|ref|XP_002290472.1|,gi|220973894|gb|EED92224.1|",hypothetical protein THAPSDRAFT_262674 [Thalassiosira pseudonana CCMP1335],10,8,13,14,17,17,18,14,19,0.000151,0.000123,0.000191,0.000272,0.000344,0.000329,0.000278,0.000213,0.000305
"gi|220972636|gb|EED90968.1|,gi|224006313|ref|XP_002292117.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,16,18,18,11,10,13,10,13,0.000125,0.000102,0.000109,0.000145,9.22e-05,8.02e-05,8.32e-05,6.29e-05,8.64e-05
"gi|223994305|ref|XP_002286836.1|,gi|220978151|gb|EED96477.1|",predicted protein [Thalassiosira pseudonana CCMP1335],18,13,12,13,14,16,19,14,10,0.00026,0.00019,0.000168,0.000241,0.00027,0.000296,0.00028,0.000203,0.000153
"gi|223999513|ref|XP_002289429.1|,gi|220974637|gb|EED92966.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",11,11,8,18,22,21,11,13,14,0.000595,0.000603,0.000419,0.001,0.002,0.001,0.000607,0.000706,0.000803
"gi|223998418|ref|XP_002288882.1|,gi|220975990|gb|EED94318.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,12,10,18,21,16,12,11,13,0.000153,0.000124,9.92e-05,0.000236,0.000287,0.000209,0.000125,0.000113,0.000141
"gi|224005296|ref|XP_002296299.1|,gi|209586331|gb|ACI65016.1|",bifunctional aspartokinase/homoserine dehydrogenase [Thalassiosira pseudonana CCMP1335],18,19,17,17,12,11,13,12,9,8.01e-05,8.57e-05,7.33e-05,9.71e-05,7.13e-05,6.26e-05,5.9e-05,5.36e-05,4.25e-05
"gi|224011916|ref|XP_002294611.1|,gi|220969631|gb|EED87971.1|",valine--tRNA ligase-like protein [Thalassiosira pseudonana CCMP1335],14,20,15,16,15,13,10,15,10,6.54e-05,9.47e-05,6.8e-05,9.6e-05,9.37e-05,7.77e-05,4.77e-05,7.04e-05,4.96e-05
"gi|220968972|gb|EED87316.1|,gi|224013912|ref|XP_002296620.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,12,11,18,15,15,14,15,12,0.000149,0.000121,0.000106,0.00023,0.0002,0.000191,0.000142,0.00015,0.000127
"gi|220976320|gb|EED94647.1|,gi|220976818|gb|EED95145.1|,gi|223996057|ref|XP_002287702.1|,gi|223995041|ref|XP_002287204.1|","v-type ATPase [Thalassiosira pseudonana CCMP1335],vacuolar ATP synthase [Thalassiosira pseudonana CCMP1335]",14,12,17,10,11,12,15,19,17,0.000351,0.000305,0.000413,0.000322,0.000369,0.000385,0.000384,0.000478,0.000452
"gi|223997468|ref|XP_002288407.1|,gi|220975515|gb|EED93843.1|","phospholipase, partial [Thalassiosira pseudonana CCMP1335]",18,14,14,16,11,9,12,15,18,9.77e-05,7.7e-05,7.37e-05,0.000112,7.98e-05,6.25e-05,6.65e-05,8.17e-05,0.000104
"gi|224000962|ref|XP_002290153.1|,gi|220973575|gb|EED91905.1|",SAR DNA-binding protein [Thalassiosira pseudonana CCMP1335],17,26,25,5,4,4,16,15,15,0.000162,0.000251,0.00023,6.1e-05,5.08e-05,4.86e-05,0.000155,0.000143,0.000151
"gi|224006996|ref|XP_002292458.1|,gi|220972100|gb|EED90433.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,20,15,11,10,16,15,9,11,0.000313,0.000317,0.000228,0.000221,0.000209,0.00032,0.00024,0.000141,0.000183
"gi|220969577|gb|EED87917.1|,gi|224011808|ref|XP_002294557.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335],predicted protein [Thalassiosira pseudonana CCMP1335]",12,11,11,21,16,19,11,13,12,0.00015,0.000139,0.000133,0.000337,0.000267,0.000304,0.00014,0.000163,0.000159
"gi|220973278|gb|EED91609.1|,gi|224003661|ref|XP_002291502.1|",hypothetical protein THAPSDRAFT_269113 [Thalassiosira pseudonana CCMP1335],8,14,15,16,16,14,14,12,17,6.28e-05,0.000111,0.000114,0.000161,0.000168,0.000141,0.000112,9.46e-05,0.000142
"gi|223995969|ref|XP_002287658.1|,gi|220976774|gb|EED95101.1|","thylakoid lumenal 17.4 kDa protein, chloroplast precursor [Thalassiosira pseudonana CCMP1335],thylakoid lumenal 17.4 kDa protein, chloroplast precursor, partial [Thalassiosira pseudonana CCMP1335]",13,18,8,21,13,13,9,16,15,0.000221,0.00031,0.000132,0.000458,0.000295,0.000283,0.000156,0.000273,0.00027
"gi|223998586|ref|XP_002288966.1|,gi|220976074|gb|EED94402.1|",phenylalanyl-trna synthetase [Thalassiosira pseudonana CCMP1335],15,17,21,10,7,10,14,17,15,0.000101,0.000116,0.000137,8.62e-05,6.28e-05,8.59e-05,9.59e-05,0.000115,0.000107
"gi|223999047|ref|XP_002289196.1|,gi|220974404|gb|EED92733.1|","RS10, ribosomal protein 10 40S small ribosomal subunit, partial [Thalassiosira pseudonana CCMP1335]",23,18,17,8,2,7,17,17,17,0.000921,0.00073,0.00066,0.000411,0.000107,0.000358,0.000694,0.000683,0.000722
"gi|223999711|ref|XP_002289528.1|,gi|220974736|gb|EED93065.1|",fumarate hydratase [Thalassiosira pseudonana CCMP1335],16,14,17,12,8,11,15,19,14,0.000106,9.44e-05,0.00011,0.000102,7.11e-05,9.36e-05,0.000102,0.000127,9.87e-05
"gi|224000415|ref|XP_002289880.1|,gi|220975088|gb|EED93417.1|","20S proteasome subunit beta type 6 precursor, partial [Thalassiosira pseudonana CCMP1335]",13,15,16,11,17,12,15,13,14,0.000261,0.000306,0.000312,0.000284,0.000457,0.000309,0.000308,0.000262,0.000299
"gi|224010441|ref|XP_002294178.1|,gi|220970195|gb|EED88533.1|",predicted protein [Thalassiosira pseudonana CCMP1335],13,18,14,15,11,11,12,16,16,8.17e-05,0.000115,8.54e-05,0.000121,9.25e-05,8.85e-05,7.7e-05,0.000101,0.000107
"gi|220967825|gb|EED86199.1|,gi|224015700|ref|XP_002297499.1|",predicted protein [Thalassiosira pseudonana CCMP1335],16,19,10,11,15,10,15,14,15,0.000114,0.000138,6.93e-05,0.000101,0.000143,9.13e-05,0.000109,0.0001,0.000114
"gi|220977075|gb|EED95402.1|,gi|223996571|ref|XP_002287959.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",10,14,16,12,13,15,11,19,15,0.000215,0.000305,0.000333,0.000331,0.000373,0.000412,0.000241,0.000409,0.000341
"gi|224009323|ref|XP_002293620.1|,gi|220971020|gb|EED89356.1|",predicted protein [Thalassiosira pseudonana CCMP1335],12,14,14,17,16,12,13,12,15,0.000129,0.000153,0.000146,0.000235,0.000231,0.000166,0.000143,0.00013,0.000172
"gi|224010078|ref|XP_002293997.1|,gi|220970669|gb|EED89006.1|",succinate dehydrogenase flavoprotein subunit [Thalassiosira pseudonana CCMP1335],17,14,8,11,13,13,17,15,17,0.000111,9.28e-05,5.07e-05,9.23e-05,0.000114,0.000109,0.000113,9.84e-05,0.000118
"gi|224010639|ref|XP_002294277.1|,gi|220970294|gb|EED88632.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,11,13,17,14,13,17,14,15,0.000171,0.000174,0.000197,0.00034,0.000292,0.000259,0.00027,0.000219,0.000248
"gi|223994379|ref|XP_002286873.1|,gi|220978188|gb|EED96514.1|",aspartate-trna ligase [Thalassiosira pseudonana CCMP1335],14,12,14,14,12,13,11,18,16,0.000123,0.000107,0.000119,0.000158,0.000141,0.000146,9.84e-05,0.000158,0.000149
"gi|223994789|ref|XP_002287078.1|,gi|220978393|gb|EED96719.1|",predicted protein [Thalassiosira pseudonana CCMP1335],21,16,20,4,4,3,22,16,18,0.000467,0.000361,0.000432,0.000114,0.000119,8.54e-05,0.0005,0.000358,0.000425
"gi|223997302|ref|XP_002288324.1|,gi|220975432|gb|EED93760.1|",predicted protein [Thalassiosira pseudonana CCMP1335],11,8,12,18,24,13,10,12,16,0.000184,0.000136,0.000195,0.000387,0.000536,0.000278,0.000171,0.000201,0.000284
"gi|224002414|ref|XP_002290879.1|,gi|220974301|gb|EED92631.1|",predicted protein [Thalassiosira pseudonana CCMP1335],12,17,13,13,14,16,14,11,14,0.000172,0.000247,0.000181,0.00024,0.000269,0.000294,0.000205,0.000159,0.000213
"gi|224009936|ref|XP_002293926.1|,gi|220970598|gb|EED88935.1|","predicted protein [Thalassiosira pseudonana CCMP1335],predicted protein, partial [Thalassiosira pseudonana CCMP1335]",13,11,11,15,11,16,13,15,19,0.000161,0.000138,0.000132,0.000238,0.000182,0.000253,0.000164,0.000186,0.000249
"gi|224013694|ref|XP_002296511.1|,gi|220968863|gb|EED87207.1|",predicted protein [Thalassiosira pseudonana CCMP1335],14,17,16,8,4,14,12,18,21,0.000188,0.000231,0.000208,0.000138,7.18e-05,0.00024,0.000164,0.000243,0.000299
"gi|224013965|ref|XP_002296646.1|,gi|220968696|gb|EED87041.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,20,11,11,10,11,12,13,16,0.000499,0.000505,0.000266,0.000352,0.000333,0.000351,0.000305,0.000325,0.000423
"gi|220971495|gb|EED89829.1|,gi|224007347|ref|XP_002292633.1|",predicted protein [Thalassiosira pseudonana CCMP1335],19,17,12,10,8,14,18,15,10,0.000176,0.00016,0.000108,0.000119,9.91e-05,0.000166,0.00017,0.00014,9.83e-05
"gi|220971958|gb|EED90291.1|,gi|224006712|ref|XP_002292316.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,13,14,13,12,14,15,13,12,9.11e-05,7.06e-05,7.27e-05,8.95e-05,8.59e-05,9.59e-05,8.2e-05,6.99e-05,6.82e-05
"gi|220972099|gb|EED90432.1|,gi|224006994|ref|XP_002292457.1|",predicted protein [Thalassiosira pseudonana CCMP1335],10,14,15,18,17,15,12,13,9,0.00016,0.000227,0.000233,0.00037,0.000364,0.000307,0.000196,0.000209,0.000153
"gi|220976677|gb|EED95004.1|,gi|223995775|ref|XP_002287561.1|",predicted protein [Thalassiosira pseudonana CCMP1335],10,15,12,12,15,15,13,15,16,9.19e-05,0.00014,0.000107,0.000142,0.000184,0.000176,0.000122,0.000138,0.000156
"gi|220977912|gb|EED96238.1|,gi|223993827|ref|XP_002286597.1|",predicted protein [Thalassiosira pseudonana CCMP1335],28,24,14,4,3,5,16,13,16,9.34e-05,8.12e-05,4.53e-05,1.71e-05,1.34e-05,2.13e-05,5.45e-05,4.35e-05,5.66e-05
"gi|224004406|ref|XP_002295854.1|,gi|209585886|gb|ACI64571.1|",predicted protein [Thalassiosira pseudonana CCMP1335],8,8,9,16,19,20,15,12,16,0.000238,0.000241,0.00026,0.000611,0.000755,0.000761,0.000455,0.000358,0.000505
"gi|116739961|gb|ABK20831.1|,gi|118411214|ref|YP_874608.1|,gi|2050584506|gb|QWM93047.1|,gi|125987770|sp|A0T0Z6.1|RR9_THAPS","30S ribosomal protein S9 (chloroplast) [Thalassiosira pseudonana],ribosomal protein S9 (chloroplast) [Thalassiosira pseudonana],RecName: Full=Small ribosomal subunit protein uS9c; AltName: Full=30S ribosomal protein S9, chloroplastic",21,22,26,0,2,2,17,16,16,0.000652,0.000693,0.000783,0.0,8.31e-05,7.95e-05,0.000539,0.000499,0.000527
