Protein(s),Protein Description(s),PSMs (PEC1),PSMs (PEC2),PSMs (PEC3),PSMs (PED1 1.5),PSMs (PED2 1.5),PSMs (PED3 1.5),PSMs (PED4 1:2),PSMs (PED5 1:2),PSMs (PED6 1:2),NSAF (PEC1),NSAF (PEC2),NSAF (PEC3),NSAF (PED1 1.5),NSAF (PED2 1.5),NSAF (PED3 1.5),NSAF (PED4 1:2),NSAF (PED5 1:2),NSAF (PED6 1:2)
"gi|223994143|ref|XP_002286755.1|,gi|220978070|gb|EED96396.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,15,14,14,21,21,16,17,15,0.000108,0.00011,9.78e-05,0.00013,0.000202,0.000193,0.000118,0.000123,0.000115
"gi|224012988|ref|XP_002295146.1|,gi|220969108|gb|EED87450.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,16,15,17,18,18,16,15,18,0.000254,0.000274,0.000246,0.00037,0.000407,0.00039,0.000276,0.000255,0.000323
"gi|220973152|gb|EED91483.1|,gi|224003409|ref|XP_002291376.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,13,15,7,11,8,26,24,25,0.00061,0.000473,0.000522,0.000323,0.000528,0.000367,0.000952,0.000865,0.000952
"gi|223997004|ref|XP_002288175.1|,gi|220975283|gb|EED93611.1|",predicted protein [Thalassiosira pseudonana CCMP1335],19,29,23,0,0,0,28,19,28,0.000315,0.000488,0.00037,0.0,0.0,0.0,0.000474,0.000316,0.000493
"gi|223998973|ref|XP_002289159.1|,gi|220974367|gb|EED92696.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",6,12,11,22,20,20,18,21,16,0.000297,0.000603,0.000529,0.001,0.001,0.001,0.00091,0.001,0.000841
"gi|224002915|ref|XP_002291129.1|,gi|220972905|gb|EED91236.1|",t-complex protein 1 [Thalassiosira pseudonana CCMP1335],18,22,20,15,14,9,14,17,17,0.000137,0.00017,0.000148,0.000147,0.000142,8.76e-05,0.000109,0.00013,0.000137
"gi|224008552|ref|XP_002293235.1|,gi|220971361|gb|EED89696.1|","predicted protein, partial [Thalassiosira pseudonana CCMP1335]",21,16,14,13,13,13,20,20,16,0.000231,0.000179,0.00015,0.000184,0.000191,0.000183,0.000225,0.000221,0.000187
"gi|224009560|ref|XP_002293738.1|,gi|220970410|gb|EED88747.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,14,20,17,16,9,17,18,18,0.000117,9.78e-05,0.000134,0.00015,0.000147,7.93e-05,0.00012,0.000125,0.000132
"gi|224003855|ref|XP_002291599.1|,gi|220973375|gb|EED91706.1|",ATP phosphoribosyltransferase [Thalassiosira pseudonana CCMP1335],19,13,12,17,16,14,17,19,18,0.000272,0.000189,0.000166,0.000312,0.000306,0.000256,0.000248,0.000273,0.000273
"gi|224012130|ref|XP_002294718.1|,gi|220969738|gb|EED88078.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,16,17,21,21,17,14,15,9,0.000119,0.000129,0.000131,0.000215,0.000223,0.000173,0.000114,0.00012,7.6e-05
"gi|220978363|gb|EED96689.1|,gi|223994729|ref|XP_002287048.1|",predicted protein [Thalassiosira pseudonana CCMP1335],15,13,18,15,15,18,19,15,16,0.000349,0.000307,0.000406,0.000448,0.000466,0.000535,0.000451,0.00035,0.000395
"gi|223996257|ref|XP_002287802.1|,gi|220976918|gb|EED95245.1|",predicted protein [Thalassiosira pseudonana CCMP1335],20,19,21,10,8,10,15,18,23,0.000559,0.000538,0.000569,0.000359,0.000299,0.000357,0.000428,0.000505,0.000682
"gi|209586369|gb|ACI65054.1|,gi|224005372|ref|XP_002296337.1|",predicted protein [Thalassiosira pseudonana CCMP1335],17,15,23,14,15,13,16,15,15,0.000156,0.000139,0.000204,0.000165,0.000183,0.000152,0.000149,0.000138,0.000146
